n_components_mean,n_components_std,frac_largest_mean,frac_largest_std,avg_degree_mean,avg_degree_std,clustering_mean,clustering_std,path_length_LCC_mean,path_length_LCC_std,modularity_Q_mean,modularity_Q_std,homophily_mean,homophily_std,std_opinion_mean,std_opinion_std,epsilon_mean,epsilon_std,p_cut_mean,p_cut_std,epsilon,p_cut,n_seeds
11.2,3.03315017762062,0.9564999999999999,0.014534441853748623,3.41,0.03807886552931959,0.3971972222222222,0.014169197633612593,8.513038199252689,0.2427111133301725,0.8528295279356177,0.00834535296318201,0.6788234832382607,0.02328447344792272,0.2764396928706633,0.0018966111468351776,0.15000000000000002,0.0,0.07444444444444444,0.0,0.15000000000000002,0.07444444444444444,5
32.0,4.847679857416329,0.8220000000000001,0.053776156426431236,3.1950000000000003,0.07356969484781088,0.42522698412698406,0.03172284205728754,10.28471391341299,1.168413719383142,0.8847673197132517,0.013721373459882317,0.8021591983808272,0.04491010236171489,0.2765224277379882,0.002324968571859423,0.15000000000000002,0.0,0.10666666666666666,0.0,0.15000000000000002,0.10666666666666666,5
57.2,7.08519583356734,0.6339999999999999,0.07387912425035913,3.021,0.0645561770863176,0.4888773809523809,0.026328645969294878,11.060908279285309,1.1244839698049933,0.9109437436781157,0.004922517644624081,0.887317570894638,0.018123852266517138,0.27674104554530626,0.0020286093035907626,0.15000000000000002,0.0,0.1388888888888889,0.0,0.15000000000000002,0.1388888888888889,5
64.0,6.59545297913646,0.524,0.11987754168316934,3.057,0.07686026281505938,0.5239210317460318,0.028182134493909092,11.952745520579128,0.7737606547287663,0.9272879636596955,0.009616135245529836,0.9282096739733946,0.018456562906447763,0.2759726910451498,0.0027491702664832287,0.15000000000000002,0.0,0.1711111111111111,0.0,0.15000000000000002,0.1711111111111111,5
75.8,7.293833011524187,0.32199999999999995,0.10641017338581871,3.016,0.03781534080237807,0.5380424603174603,0.03627040561281631,9.593080380242615,1.8052240344275383,0.9318385719292079,0.009603652131946054,0.9555370333741895,0.007733797338307784,0.2751458903470107,0.002109721352873543,0.15000000000000002,0.0,0.2033333333333333,3.1031676915590914e-17,0.15000000000000002,0.20333333333333334,5
94.6,5.5497747702046425,0.25999999999999995,0.13830446485923728,2.937,0.1083743512091306,0.5519958152958152,0.042158614610622376,8.00454577189675,3.2261713922843427,0.944886487206033,0.009928842029117079,0.9763947839138363,0.014518777978186353,0.2757461317380567,0.0020048531212649347,0.15000000000000002,0.0,0.23555555555555557,0.0,0.15000000000000002,0.23555555555555557,5
98.0,8.06225774829855,0.157,0.08382272961434745,2.8970000000000002,0.08906458330896738,0.5542071428571429,0.03817936428230747,6.571073619261577,2.7297756753331384,0.9468341160596949,0.011113845756286884,0.9877590219019539,0.009534910495903276,0.27630075875796745,0.001664915547010188,0.15000000000000002,0.0,0.2677777777777778,0.0,0.15000000000000002,0.2677777777777778,5
98.8,9.311283477587825,0.14950000000000002,0.08218500471497218,2.925,0.0802340326794061,0.5641094516594516,0.02406721768316358,5.896441075414894,2.0827065823950046,0.9500218058646375,0.010406148697064436,0.983552243454336,0.00715809617806632,0.2761306109375329,0.002706225127101869,0.15000000000000002,0.0,0.3,0.0,0.15000000000000002,0.3,5
1.0,0.0,1.0,0.0,3.9519999999999995,0.006708203932499458,0.3189892857142857,0.02269729432739905,6.500832080200501,0.2299467963982358,0.7738314030362095,0.010665615883604438,0.16294768745628999,0.07150678887807589,0.26609465946481003,0.0042010266247375135,0.2,0.0,0.01,0.0,0.2,0.01,5
2.0,1.224744871391589,0.9940000000000001,0.008403868156985817,3.806,0.02815137652051855,0.3471984126984126,0.020469661426772107,7.026444254688732,0.24519056737582004,0.8020922703382197,0.00707157050255116,0.5456272331757009,0.06088968367138607,0.2631244058239343,0.005968123511072759,0.2,0.0,0.042222222222222223,0.0,0.2,0.042222222222222223,5
